ZipCode,OccupiedUnits,OwnerOccupiedUnits,RenterOccupiedUnits
01001,7481,5484,1997
01002,9877,4578,5299
01003,36,4,32
01005,1798,1506,292
01007,5475,4489,986
01008,510,485,25
01009,105,105,0
01010,1431,1266,165
01011,569,453,116
01012,252,222,30
01013,9285,4316,4969
01020,12609,8003,4606
01022,1108,790,318
01026,449,361,88
01027,7976,4847,3129
01028,5957,4899,1058
01029,283,211,72
01030,4394,3643,751
01031,507,298,209
01032,228,206,22
01033,2493,2106,387
01034,841,772,69
01035,2355,1848,507
01036,1985,1770,215
01037,247,225,22
01038,1330,965,365
01039,511,343,168
01040,15275,6226,9049
01050,1031,837,194
01053,612,476,136
01054,780,682,98
01056,7961,5881,2080
01057,3448,2914,534
01060,6486,2621,3865
01062,4065,2929,1136
01063,0,0,0
01066,9,0,9
01068,670,634,36
01069,3557,2686,871
01070,261,225,36
01071,513,479,34
01072,650,588,62
01073,2397,2187,210
01074,151,18,133
01075,6682,4860,1822
01077,3801,3161,640
01079,319,187,132
01080,955,530,425
01081,775,619,156
01082,4565,3210,1355
01083,1113,834,279
01084,76,70,6
01085,15557,10636,4921
01086,0,0,0
01088,211,148,63
01089,12037,7033,5004
01092,540,420,120
01093,116,109,7
01094,176,82,94
01095,5353,4707,646
01096,1085,871,214
01097,21,6,15
01098,562,500,62
01103,1449,123,1326
01104,9077,4161,4916
01105,4965,485,4480
01106,5826,5186,640
01107,3794,867,2927
01108,9878,3515,6363
01109,9267,4084,5183
01118,5686,4525,1161
01119,4966,3477,1489
01128,1078,1016,62
01129,2830,2142,688
01151,3335,1421,1914
01199,0,0,0
01201,19879,12312,7567
01220,3842,2387,1455
01222,337,298,39
01223,1043,976,67
01224,126,76,50
01225,1423,1159,264
01226,3090,2323,767
01229,43,33,10
01230,3565,2546,1019
01235,1175,1016,159
01236,462,380,82
01237,1002,845,157
01238,2292,1537,755
01240,2175,1403,772
01242,172,100,72
01243,140,138,2
01244,41,31,10
01245,416,349,67
01247,6752,4220,2532
01253,351,335,16
01254,489,461,28
01255,355,348,7
01256,297,279,18
01257,929,828,101
01258,232,207,25
01259,277,258,19
01260,152,82,70
01262,535,263,272
01264,76,57,19
01266,601,525,76
01267,2397,1791,606
01270,334,334,0
01301,7989,4476,3513
01330,588,487,101
01331,5281,3861,1420
01337,1053,838,215
01338,50,44,6
01339,580,497,83
01340,743,615,128
01341,751,646,105
01342,457,297,160
01343,24,24,0
01344,581,471,110
01346,173,166,7
01347,79,59,20
01349,463,368,95
01350,47,31,16
01351,959,688,271
01354,576,489,87
01355,406,358,48
01360,1234,993,241
01364,3199,2292,907
01366,495,417,78
01367,222,193,29
01368,497,415,82
01370,1839,1328,511
01373,1974,1642,332
01375,1610,673,937
01376,2319,1209,1110
01378,339,326,13
01379,385,309,76
01420,14817,7845,6972
01430,2008,1777,231
01431,1110,1013,97
01432,3415,2093,1322
01434,212,140,72
01436,1274,902,372
01438,206,190,16
01440,8222,4288,3934
01450,4048,3510,538
01451,1583,1488,95
01452,1732,1560,172
01453,16941,9666,7275
01460,3559,3034,525
01462,4203,3475,728
01463,4338,3425,913
01464,2441,1691,750
01467,135,135,0
01468,1751,1493,258
01469,2735,2231,504
01473,2844,2607,237
01474,694,655,39
01475,3821,2765,1056
01501,6703,5673,1030
01503,1125,958,167
01504,3428,2556,872
01505,1771,1494,277
01506,1467,1235,232
01507,4886,3976,910
01510,5533,3000,2533
01515,822,681,141
01516,3146,2509,637
01518,1449,991,458
01519,2450,1973,477
01520,5692,5124,568
01521,953,819,134
01522,1150,993,157
01523,2304,1899,405
01524,2517,1845,672
01525,163,41,122
01527,5234,3829,1405
01529,1226,909,317
01531,460,401,59
01532,5429,4407,1022
01534,2307,1728,579
01535,1821,1282,539
01536,2803,2235,568
01537,954,677,277
01540,4316,3156,1160
01541,1240,1156,84
01542,788,606,182
01543,2956,2447,509
01545,13140,9797,3343
01550,6943,2928,4015
01560,1733,1098,635
01561,108,43,65
01562,4865,3405,1460
01564,2755,2423,332
01566,2146,1914,232
01568,2608,2221,387
01569,4805,3805,1000
01570,6884,3975,2909
01571,3878,2691,1187
01581,6794,4232,2562
01583,2074,1738,336
01585,1874,1345,529
01588,3534,2022,1512
01590,3441,3248,193
01602,9695,5713,3982
01603,7110,3195,3915
01604,14575,6770,7805
01605,10656,3305,7351
01606,8120,5221,2899
01607,3714,1425,2289
01608,1717,179,1538
01609,7722,2909,4813
01610,7928,1143,6785
01611,792,506,286
01612,1570,1455,115
01701,12997,10227,2770
01702,15227,5326,9901
01718,261,163,98
01719,2263,1617,646
01720,8527,6280,2247
01721,6685,5456,1229
01730,5230,3871,1359
01731,555,6,549
01740,1678,1561,117
01741,1823,1718,105
01742,6772,5094,1678
01745,210,170,40
01746,5278,4742,536
01747,2263,1869,394
01748,5991,4976,1015
01749,7686,5705,1981
01752,15718,8980,6738
01754,4250,3262,988
01756,2023,1780,243
01757,11135,7608,3527
01760,14310,10162,4148
01770,1556,1452,104
01772,3278,2955,323
01773,2140,1613,527
01775,2575,2270,305
01776,6355,5875,480
01778,5002,4479,523
01801,15756,9775,5981
01803,9942,7244,2698
01810,12474,10173,2301
01821,11509,9047,2462
01824,9766,8286,1480
01826,11224,8874,2350
01827,1140,1101,39
01830,10049,5382,4667
01832,8849,4964,3885
01833,3253,2594,659
01834,2368,2007,361
01835,5257,3690,1567
01840,2262,144,2118
01841,14795,4303,10492
01843,8578,2903,5675
01844,17692,12752,4940
01845,11121,7984,3137
01850,5457,2133,3324
01851,10165,4338,5827
01852,13747,6474,7273
01854,9492,3541,5951
01860,2775,2445,330
01862,3388,2886,502
01863,3860,3145,715
01864,5412,4753,659
01867,9099,7562,1537
01876,11529,9859,1670
01879,4440,3721,719
01880,10556,7998,2558
01886,8350,7231,1119
01887,8028,6890,1138
01890,7879,6713,1166
01901,885,85,800
01902,17247,5907,11340
01904,6164,4670,1494
01905,8374,3897,4477
01906,10436,8500,1936
01907,5535,4335,1200
01908,1572,1075,497
01913,7131,4891,2240
01915,16687,10202,6485
01921,2753,2699,54
01922,1144,1012,132
01923,10703,7723,2980
01929,1430,1184,246
01930,13137,8265,4872
01937,0,0,0
01938,5683,4219,1464
01940,4891,4145,746
01944,2072,1530,542
01945,8236,6424,1812
01949,2975,2662,313
01950,7918,6156,1762
01951,1654,1320,334
01952,3759,2970,789
01960,21576,14177,7399
01966,3243,2324,919
01969,2170,1861,309
01970,18206,9162,9044
01982,2658,2128,530
01983,2145,1946,199
01984,1397,1277,120
01985,1589,1459,130
02019,6430,5340,1090
02021,9021,6840,2181
02025,3119,2346,773
02026,9974,7017,2957
02030,2015,1857,158
02032,1590,1345,245
02035,6657,4253,2404
02038,11655,9476,2179
02043,8743,7116,1627
02045,4860,3400,1460
02047,66,32,34
02048,8477,6106,2371
02050,9779,7795,1984
02052,4153,3613,540
02053,4691,4197,494
02054,3007,2482,525
02056,3149,3022,127
02061,3674,3420,254
02062,11764,6857,4907
02066,6846,5911,935
02067,6274,5542,732
02071,259,243,16
02072,10784,7618,3166
02081,7090,5813,1277
02090,5474,4655,819
02093,4162,3465,697
02108,1810,816,994
02109,1917,709,1208
02110,1385,934,451
02111,3476,845,2631
02113,4333,931,3402
02114,7426,1882,5544
02115,9234,1126,8108
02116,12160,4650,7510
02118,12962,4492,8470
02119,11428,2632,8796
02120,4933,381,4552
02121,10675,2297,8378
02122,8536,3509,5027
02124,18953,7324,11629
02125,12474,4322,8152
02126,10095,4192,5903
02127,16976,6907,10069
02128,16399,4514,11885
02129,9050,4175,4875
02130,16631,7502,9129
02131,12684,7037,5647
02132,11421,8221,3200
02134,8205,1057,7148
02135,19539,4816,14723
02136,11955,6247,5708
02138,14131,5565,8566
02139,14414,5163,9251
02140,9445,3321,6124
02141,6745,2284,4461
02142,1522,215,1307
02143,11168,3236,7932
02144,10891,3854,7037
02145,10773,3957,6816
02148,23076,9432,13644
02149,15736,5959,9777
02150,13141,3436,9705
02151,19999,9531,10468
02152,8006,4427,3579
02155,22972,13142,9830
02163,517,0,517
02169,25076,10401,14675
02170,7621,4078,3543
02171,7886,4493,3393
02176,11256,7349,3907
02180,9241,6091,3150
02184,14074,10384,3690
02186,8881,7459,1422
02188,6348,3715,2633
02189,6206,3999,2207
02190,7150,4905,2245
02191,3580,2889,691
02199,765,22,743
02203,25,12,13
02210,1945,673,1272
02215,7553,810,6743
02301,21401,9777,11624
02302,10756,7692,3064
02322,1582,1158,424
02324,8050,5705,2345
02330,4491,4085,406
02332,5590,4997,593
02333,4907,3985,922
02338,2798,2482,316
02339,4882,4281,601
02341,3806,3495,311
02343,4085,3288,797
02346,9196,7361,1835
02347,3987,3458,529
02351,6413,4491,1922
02356,4422,3536,886
02357,22,10,12
02359,6489,5606,883
02360,23101,18260,4841
02364,4859,3992,867
02366,0,0,0
02367,1019,879,140
02368,12274,8421,3853
02370,6897,5137,1760
02375,3739,2945,794
02379,2515,2153,362
02382,5379,3770,1609
02420,4991,4432,559
02421,6766,5216,1550
02445,8529,4913,3616
02446,13216,5592,7624
02451,7500,4285,3215
02452,4939,3076,1863
02453,11139,4519,6620
02457,0,0,0
02458,4951,3021,1930
02459,6605,5333,1272
02460,3664,2235,1429
02461,2708,2059,649
02462,552,340,212
02464,1194,806,388
02465,4227,3356,871
02466,2955,1646,1309
02467,6004,4101,1903
02468,1974,1832,142
02472,15607,8062,7545
02474,11560,6538,5022
02476,7250,4602,2648
02478,9771,6239,3532
02481,4768,4005,763
02482,3886,3097,789
02492,7093,6363,730
02493,3800,3288,512
02494,3672,2585,1087
02532,5707,4473,1234
02534,230,165,65
02535,480,397,83
02536,7990,6437,1553
02537,2489,2319,170
02538,1459,996,463
02539,1397,1076,321
02540,4003,2700,1303
02542,286,10,276
02543,370,249,121
02553,97,97,0
02554,3637,2491,1146
02556,1182,1005,177
02557,1760,1417,343
02558,642,434,208
02559,1905,1401,504
02561,133,106,27
02562,1247,969,278
02563,3902,3401,501
02564,73,73,0
02568,1571,1006,565
02571,4461,2901,1560
02575,1136,1011,125
02576,1775,1671,104
02584,12,12,0
02601,6353,3205,3148
02630,826,726,100
02631,4241,3708,533
02632,4433,3819,614
02633,2033,1617,416
02635,1481,1342,139
02637,68,54,14
02638,1530,1301,229
02639,1519,867,652
02641,112,112,0
02642,2371,2058,313
02643,0,0,0
02644,1485,1211,274
02645,4183,3564,619
02646,931,821,110
02647,54,45,9
02648,2788,2578,210
02649,6240,5447,793
02650,355,263,92
02651,0,0,0
02652,358,307,51
02653,2845,2276,569
02655,1517,1219,298
02657,1760,1347,413
02659,431,409,22
02660,2978,2271,707
02663,50,41,9
02664,4007,2895,1112
02666,283,244,39
02667,1534,1340,194
02668,1175,942,233
02669,38,28,10
02670,679,483,196
02671,427,352,75
02672,133,98,35
02673,3667,2878,789
02675,3035,2821,214
02702,1530,1420,110
02703,17378,11730,5648
02713,19,19,0
02715,1290,1157,133
02717,1793,1574,219
02718,2339,1975,364
02719,6491,4905,1586
02720,13047,5186,7861
02721,11005,3890,7115
02723,6642,2052,4590
02724,7820,2392,5428
02725,956,743,213
02726,6070,5004,1066
02738,1863,1471,392
02739,2597,2021,576
02740,18303,7327,10976
02743,4051,3455,596
02744,4598,1592,3006
02745,10001,5848,4153
02746,6219,1091,5128
02747,6919,5330,1589
02748,4693,3742,951
02760,10226,6871,3355
02762,3560,2690,870
02763,628,556,72
02764,1465,1323,142
02766,6458,5485,973
02767,5198,4264,934
02769,4114,3720,394
02770,1840,1682,158
02771,6004,5230,774
02777,6149,5302,847
02779,2342,2207,135
02780,19753,12039,7714
02790,6306,5248,1058
02791,170,122,48
02802,223,66,157
02804,840,750,90
02806,6111,5414,697
02807,429,318,111
02808,889,700,189
02809,8442,5507,2935
02812,402,389,13
02813,3200,2772,428
02814,2903,2527,376
02815,76,76,0
02816,13304,10161,3143
02817,2161,1793,368
02818,7466,5504,1962
02822,2352,2033,319
02825,2006,1604,402
02826,261,236,25
02827,814,764,50
02828,3151,2570,581
02830,2290,1785,505
02831,1231,1077,154
02832,1718,1410,308
02833,415,321,94
02835,2257,1890,367
02836,75,75,0
02837,1611,1256,355
02838,1352,647,705
02839,803,566,237
02840,10600,4333,6267
02841,0,0,0
02842,6773,3569,3204
02852,8927,6615,2312
02857,3378,2972,406
02858,226,128,98
02859,2473,1839,634
02860,18379,6383,11996
02861,9971,6153,3818
02863,6309,1225,5084
02864,13492,10064,3428
02865,6315,4597,1718
02871,7114,5416,1698
02872,152,137,15
02873,98,98,0
02874,2210,2059,151
02875,191,124,67
02876,130,0,130
02878,6710,5248,1462
02879,8418,6223,2195
02881,1042,669,373
02882,6039,4077,1962
02885,5014,2696,2318
02886,12552,8313,4239
02888,8223,6307,1916
02889,11209,8273,2936
02891,9102,5722,3380
02892,1771,1451,320
02893,13086,6964,6122
02894,327,310,17
02895,16940,6084,10856
02896,4430,3629,801
02898,666,492,174
02903,4620,834,3786
02904,12507,6021,6486
02905,8741,3957,4784
02906,10694,5100,5594
02907,9004,2481,6523
02908,12232,5386,6846
02909,14566,4219,10347
02910,8314,5883,2431
02911,6621,3471,3150
02912,0,0,0
02914,8769,4539,4230
02915,7188,4680,2508
02916,3660,2596,1064
02917,4683,3635,1048
02919,11623,7877,3746
02920,14140,8779,5361
02921,4474,3726,748
03031,4036,3717,319
03032,1982,1771,211
03033,1715,1578,137
03034,1527,1426,101
03036,1683,1645,38
03037,1671,1483,188
03038,13095,8211,4884
03042,2569,2213,356
03043,658,613,45
03044,1715,1491,224
03045,5105,4134,971
03046,960,889,71
03047,642,501,141
03048,1415,1187,228
03049,2954,2720,234
03051,9054,7353,1701
03052,2983,2584,399
03053,8963,7804,1159
03054,10034,8771,1263
03055,6244,4000,2244
03057,864,786,78
03060,12155,4110,8045
03062,11340,8012,3328
03063,6975,4260,2715
03064,5804,3361,2443
03070,1914,1760,154
03071,1837,1621,216
03076,4631,4133,498
03077,4104,3355,749
03079,11413,8763,2650
03082,639,584,55
03084,504,460,44
03086,1649,1363,286
03087,5010,4739,271
03101,1657,154,1503
03102,13357,5174,8183
03103,13987,6369,7618
03104,13489,6465,7024
03106,5181,4052,1129
03109,4050,3026,1024
03110,7787,6728,1059
03215,78,72,6
03216,933,766,167
03217,850,494,356
03218,317,265,52
03220,2928,2633,295
03221,867,749,118
03222,2283,1737,546
03223,1378,1009,369
03224,948,897,51
03225,1241,1101,140
03226,413,359,54
03227,446,375,71
03229,2129,1877,252
03230,551,494,57
03231,108,93,15
03233,50,45,5
03234,1773,1410,363
03235,3797,2345,1452
03237,900,853,47
03238,50,39,11
03240,488,435,53
03241,343,311,32
03242,1795,1333,462
03243,384,352,32
03244,3021,2668,353
03245,787,631,156
03246,6967,3981,2986
03249,3048,2703,345
03251,530,314,216
03253,2752,2069,683
03254,1714,1469,245
03255,875,820,55
03256,925,794,131
03257,1698,1398,300
03258,976,890,86
03259,153,135,18
03260,303,254,49
03261,1636,1419,217
03262,427,288,139
03263,1691,975,716
03264,2256,1448,808
03266,888,748,140
03268,470,455,15
03269,1152,973,179
03273,150,141,9
03275,4419,3322,1097
03276,3261,2201,1060
03278,1112,773,339
03279,334,283,51
03280,529,502,27
03281,3158,2768,390
03282,346,295,51
03284,341,282,59
03285,1056,948,108
03287,670,521,149
03290,1774,1676,98
03291,40,40,0
03293,53,42,11
03301,13178,6847,6331
03303,6145,4202,1943
03304,2752,2442,310
03307,2075,1762,313
03431,10336,5622,4714
03440,1048,822,226
03441,89,36,53
03442,596,421,175
03443,199,151,48
03444,578,477,101
03445,303,243,60
03446,2407,1939,468
03447,1010,862,148
03448,289,254,35
03449,779,659,120
03450,450,392,58
03451,1698,1312,386
03452,2094,1384,710
03455,936,588,348
03456,314,281,33
03457,300,255,45
03458,3132,2150,982
03461,1816,1513,303
03462,560,465,95
03464,420,382,38
03465,829,604,225
03466,639,525,114
03467,628,590,38
03470,2043,1470,573
03561,2799,1514,1285
03570,3914,2229,1685
03574,1066,736,330
03575,14,14,0
03576,1339,1083,256
03579,185,147,38
03580,545,453,92
03581,1471,1129,342
03582,1042,764,278
03583,431,373,58
03584,1499,1097,402
03585,1050,843,207
03586,277,256,21
03588,707,608,99
03590,416,314,102
03592,550,450,100
03593,209,181,28
03595,289,234,55
03597,168,127,41
03598,1514,1000,514
03601,177,164,13
03602,1056,780,276
03603,2164,1745,419
03604,96,96,0
03605,390,353,37
03607,168,153,15
03608,1247,1000,247
03609,263,184,79
03740,271,235,36
03741,1511,1179,332
03743,5652,3290,2362
03745,611,546,65
03746,104,101,3
03748,2159,1578,581
03750,279,268,11
03751,253,176,77
03752,290,229,61
03753,1238,1117,121
03754,149,0,149
03755,2789,1780,1009
03765,200,186,14
03766,4250,2167,2083
03768,638,569,69
03770,152,138,14
03771,328,294,34
03773,3165,2276,889
03774,811,665,146
03777,512,423,89
03779,326,279,47
03780,192,160,32
03781,765,661,104
03782,1216,911,305
03784,1818,857,961
03785,875,527,348
03801,10327,5420,4907
03809,1333,1134,199
03810,744,679,65
03811,2734,2520,214
03812,386,230,156
03813,1317,1126,191
03814,1153,815,338
03816,578,503,75
03817,406,287,119
03818,1764,1178,586
03819,1604,1375,229
03820,13202,6992,6210
03823,570,496,74
03824,3308,1845,1463
03825,3375,3084,291
03826,1031,695,336
03827,1173,1097,76
03830,875,806,69
03832,161,121,40
03833,8923,6661,2262
03835,2798,1903,895
03836,573,523,50
03837,592,556,36
03838,588,475,113
03839,1408,917,491
03840,1459,1224,235
03841,2592,2160,432
03842,7108,5248,1860
03844,896,817,79
03845,613,419,194
03846,435,349,86
03847,198,144,54
03848,2404,2035,369
03849,580,506,74
03850,134,134,0
03851,1545,1319,226
03852,176,176,0
03853,253,227,26
03854,390,321,69
03855,977,917,60
03856,566,513,53
03857,4022,2114,1908
03858,1793,1415,378
03860,1741,1189,552
03861,1922,1603,319
03862,1722,1549,173
03864,716,634,82
03865,3039,2523,516
03867,9116,6049,3067
03868,2185,1541,644
03869,1001,735,266
03870,2244,1769,475
03871,79,79,0
03872,1250,1106,144
03873,2168,1991,177
03874,3897,2575,1322
03875,443,342,101
03878,4964,2845,2119
03882,605,492,113
03883,63,63,0
03884,1378,1236,142
03885,2797,2443,354
03886,898,571,327
03887,752,658,94
03890,56,56,0
03894,2852,2332,520
03901,2966,2617,349
03902,998,922,76
03903,2647,2191,456
03904,3418,2138,1280
03905,1018,880,138
03906,1875,1563,312
03907,634,519,115
03908,2865,2173,692
03909,4441,3651,790
03910,159,71,88
03911,26,26,0
04001,1059,905,154
04002,2948,2600,348
04003,163,135,28
04005,9565,4991,4574
04006,91,9,82
04008,1204,1032,172
04009,2286,1724,562
04010,595,532,63
04011,8505,5760,2745
04015,1577,1177,400
04017,223,196,27
04019,18,18,0
04020,589,432,157
04021,2360,1868,492
04022,452,428,24
04024,216,187,29
04027,2157,1903,254
04029,716,585,131
04030,939,880,59
04032,3395,2572,823
04037,1243,996,247
04038,5982,4973,1009
04039,3125,2432,693
04040,1408,1202,206
04041,603,505,98
04042,2022,1757,265
04043,4966,3776,1190
04046,3390,2877,513
04047,771,641,130
04048,1235,1000,235
04049,1262,1122,140
04050,120,96,24
04051,391,356,35
04055,1595,1432,163
04056,126,94,32
04057,22,22,0
04061,1104,906,198
04062,6555,5714,841
04063,315,161,154
04064,4463,2986,1477
04066,367,227,140
04068,557,439,118
04069,628,553,75
04071,2135,1851,284
04072,7768,5245,2523
04073,6788,3864,2924
04074,7624,6253,1371
04076,1054,977,77
04079,1656,1303,353
04083,1979,1395,584
04084,2802,2538,264
04085,706,694,12
04086,3796,2861,935
04087,783,695,88
04088,579,508,71
04090,4582,3835,747
04091,336,303,33
04092,8031,4958,3073
04093,3105,2579,526
04095,540,468,72
04096,3474,2627,847
04097,1386,1240,146
04101,9033,1687,7346
04102,7811,3720,4091
04103,13246,7741,5505
04105,4633,3950,683
04106,10915,6840,4075
04107,3700,3212,488
04108,405,351,54
04109,51,38,13
04110,533,505,28
04210,10262,5800,4462
04216,178,169,9
04217,1308,1057,251
04219,591,539,52
04220,1144,1019,125
04221,304,254,50
04222,1592,1425,167
04224,928,712,216
04226,65,61,4
04227,64,47,17
04228,0,0,0
04231,113,98,15
04234,52,52,0
04236,1617,1378,239
04237,84,74,10
04238,486,413,73
04239,1833,1519,314
04240,15779,7971,7808
04250,1808,1354,454
04252,1834,1449,385
04253,833,679,154
04254,1428,774,654
04255,238,201,37
04256,1196,930,266
04257,986,824,162
04258,915,833,82
04259,1318,1109,209
04260,2138,1756,382
04261,155,132,23
04263,858,726,132
04265,441,352,89
04267,29,29,0
04268,1694,1265,429
04270,2161,1760,401
04271,0,0,0
04274,2368,1893,475
04275,154,139,15
04276,2403,1730,673
04280,2699,2232,467
04281,1742,1178,564
04282,2302,1828,474
04284,442,395,47
04285,178,154,24
04286,15,0,15
04287,1358,1220,138
04289,694,517,177
04290,543,487,56
04292,327,294,33
04294,1600,1260,340
04330,11427,6851,4576
04342,739,663,76
04343,16,16,0
04344,1401,1008,393
04345,4666,3505,1161
04346,852,612,240
04347,1099,628,471
04348,1192,1013,179
04349,446,417,29
04350,1431,1247,184
04351,1038,825,213
04352,667,614,53
04353,957,806,151
04354,631,578,53
04355,1019,855,164
04357,1603,1199,404
04358,1747,1541,206
04359,135,112,23
04360,209,188,21
04363,1063,833,230
04364,2497,1701,796
04401,18924,10408,8516
04406,291,264,27
04408,73,62,11
04410,460,411,49
04411,634,537,97
04412,3669,2386,1283
04413,93,88,5
04414,568,474,94
04415,107,81,26
04416,2307,1768,539
04417,155,146,9
04418,665,560,105
04419,1046,889,157
04421,288,196,92
04422,462,444,18
04424,327,266,61
04426,1964,1331,633
04427,1045,905,140
04428,1139,953,186
04429,1838,1547,291
04430,820,617,203
04431,29,29,0
04434,420,358,62
04435,449,426,23
04438,467,378,89
04441,798,610,188
04442,13,13,0
04443,1059,782,277
04444,3500,2946,554
04448,558,406,152
04449,563,482,81
04450,474,426,48
04451,103,96,7
04453,314,222,92
04454,13,13,0
04455,295,239,56
04456,1057,893,164
04457,2390,1625,765
04459,413,317,96
04460,535,476,59
04461,1170,897,273
04462,2306,1706,600
04463,1297,939,358
04464,249,189,60
04468,4014,2583,1431
04469,0,0,0
04471,316,287,29
04472,932,774,158
04473,3075,1608,1467
04474,1492,1311,181
04475,257,232,25
04476,540,465,75
04478,167,136,31
04479,566,463,103
04481,205,188,17
04485,91,86,5
04487,393,365,28
04488,552,501,51
04489,80,63,17
04490,117,110,7
04491,68,63,5
04492,55,44,11
04493,762,643,119
04495,190,178,12
04496,1609,1344,265
04497,152,133,19
04530,5105,3332,1773
04535,347,293,54
04537,944,872,72
04538,998,702,296
04539,488,435,53
04541,21,21,0
04543,928,549,379
04544,306,298,8
04547,391,357,34
04548,444,374,70
04551,341,321,20
04553,792,575,217
04554,409,324,85
04555,715,606,109
04556,562,466,96
04558,72,72,0
04562,1026,913,113
04563,602,450,152
04564,263,263,0
04568,250,194,56
04570,0,0,0
04571,164,132,32
04572,2300,1656,644
04573,211,179,32
04574,576,535,41
04575,36,36,0
04576,300,265,35
04578,2015,1243,772
04579,1283,1042,241
04605,6029,4323,1706
04606,498,411,87
04607,504,424,80
04609,2337,1496,841
04611,199,166,33
04612,209,185,24
04613,37,28,9
04614,1199,837,362
04616,325,295,30
04617,342,298,44
04619,1496,983,513
04622,563,425,138
04623,375,314,61
04624,77,71,6
04625,47,41,6
04626,214,180,34
04627,704,522,182
04628,293,226,67
04629,0,0,0
04630,558,453,105
04631,640,469,171
04634,830,683,147
04635,6,4,2
04637,80,72,8
04640,979,721,258
04642,39,35,4
04643,410,325,85
04644,0,0,0
04645,15,8,7
04646,31,22,9
04648,295,236,59
04649,557,400,157
04650,118,118,0
04652,804,666,138
04653,292,154,138
04654,1351,870,481
04655,371,293,78
04657,150,120,30
04658,653,511,142
04660,517,453,64
04662,228,121,107
04664,510,403,107
04666,551,497,54
04667,591,418,173
04668,635,427,208
04669,90,90,0
04671,240,223,17
04673,77,73,4
04674,203,180,23
04675,80,57,23
04676,457,405,52
04677,125,105,20
04679,775,507,268
04680,528,427,101
04681,477,347,130
04683,48,37,11
04684,710,588,122
04685,179,142,37
04686,66,63,3
04691,137,114,23
04693,199,150,49
04694,972,771,201
04730,4158,2708,1450
04732,788,637,151
04733,115,97,18
04734,321,254,67
04735,258,233,25
04736,4102,2737,1365
04739,353,300,53
04740,454,354,100
04741,4,4,0
04742,1499,1069,430
04743,1906,1430,476
04745,408,358,50
04746,216,165,51
04747,547,472,75
04750,763,443,320
04756,1556,1105,451
04757,1265,1091,174
04758,544,384,160
04760,314,237,77
04761,221,190,31
04762,227,194,33
04763,296,221,75
04764,15,15,0
04765,510,412,98
04766,152,122,30
04768,180,168,12
04769,4082,2339,1743
04772,399,315,84
04773,280,224,56
04774,295,232,63
04776,399,364,35
04777,186,167,19
04779,163,158,5
04780,264,244,20
04781,222,188,34
04783,221,195,26
04785,986,633,353
04786,837,610,227
04787,205,193,12
04841,3453,1883,1570
04843,2475,1828,647
04847,638,577,61
04848,324,281,43
04849,1647,1420,227
04851,45,45,0
04852,22,16,6
04853,228,191,37
04854,703,592,111
04855,100,100,0
04856,1393,1165,228
04858,576,510,66
04859,374,342,32
04860,720,691,29
04861,1316,887,429
04862,1549,1301,248
04863,481,346,135
04864,1521,1381,140
04901,11455,6828,4627
04910,803,683,120
04911,946,747,199
04912,356,299,57
04915,3955,2729,1226
04917,1000,949,51
04918,167,117,50
04920,768,658,110
04921,657,582,75
04922,478,409,69
04923,242,219,23
04924,909,674,235
04925,38,35,3
04926,38,38,0
04927,1417,1141,276
04928,843,671,172
04929,333,217,116
04930,1789,1284,505
04932,529,489,40
04933,24,19,5
04936,74,74,0
04937,2799,1796,1003
04938,3737,2690,1047
